path,path_length,fidelity_rate,loss
"[(9, 3), (8, 3), (8, 2), (7, 2), (7, 1), (6, 1), (6, 0), (5, 0), (4, 0), (3, 0)]",10,4.296875,87.5
"[(6, 4), (5, 4), (5, 3), (4, 3), (4, 2), (3, 2), (3, 1), (2, 1), (1, 1), (0, 1)]",10,1.953125,87.5
"[(4, 8), (5, 8), (5, 7), (6, 7), (6, 6), (6, 5)]",6,4.6875,75.0
"[(8, 0), (7, 0), (7, 1), (6, 1), (6, 2), (6, 3), (6, 4), (6, 5)]",8,3.515625,83.59375
"[(0, 2), (1, 2), (1, 3), (2, 3), (2, 4), (3, 4), (3, 5), (4, 5), (4, 6), (4, 7), (4, 8)]",11,2.734375,89.0625
"[(5, 5), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9)]",6,7.421875,75.0
"[(9, 0), (8, 0), (8, 1), (7, 1), (7, 2), (6, 2), (6, 3), (6, 4), (6, 5), (6, 6), (6, 7), (6, 8), (6, 9)]",13,2.34375,91.015625
"[(6, 5), (5, 5), (5, 4), (4, 4), (4, 3)]",5,6.25,66.796875
"[(5, 0), (4, 0), (3, 0), (2, 0), (1, 0)]",5,7.8125,66.796875
"[(3, 4), (4, 4), (4, 3), (5, 3), (6, 3), (7, 3)]",6,5.078125,75.0
"[(1, 0), (2, 0), (2, 1), (3, 1), (3, 2), (4, 2), (4, 3), (5, 3), (5, 4), (6, 4), (6, 5), (7, 5), (7, 6), (7, 7)]",14,3.90625,91.796875
"[(7, 5), (6, 5), (6, 6), (5, 6), (5, 7), (4, 7), (4, 8), (3, 8), (3, 9), (2, 9)]",10,2.34375,87.5
"[(6, 4), (5, 4), (5, 3), (4, 3), (3, 3), (2, 3)]",6,5.078125,75.0
"[(9, 8), (8, 8), (8, 7), (7, 7), (7, 6), (6, 6), (6, 5), (5, 5), (5, 4), (4, 4), (4, 3), (3, 3), (3, 2), (2, 2), (2, 1), (2, 0)]",16,1.171875,92.96875
"[(8, 7), (7, 7), (6, 7), (5, 7), (4, 7), (3, 7), (2, 7)]",7,4.296875,80.078125
"[(6, 6), (5, 6), (4, 6), (3, 6), (2, 6)]",5,5.46875,66.796875
"[(1, 3), (2, 3), (2, 2), (3, 2), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1)]",9,3.125,85.9375
"[(4, 3), (3, 3), (3, 2), (3, 1), (3, 0)]",5,10.15625,66.796875
"[(5, 6), (6, 6), (6, 5)]",3,26.171875,0.0
"[(1, 5), (2, 5), (2, 6), (3, 6), (3, 7), (4, 7), (5, 7)]",7,4.6875,80.078125
"[(5, 3), (6, 3), (6, 4), (7, 4), (7, 5), (8, 5), (8, 6), (9, 6)]",8,3.90625,83.59375
"[(1, 9), (2, 9), (2, 8), (3, 8), (3, 7), (4, 7), (4, 6), (5, 6), (5, 5), (6, 5), (6, 4), (7, 4), (8, 4), (9, 4)]",14,1.171875,91.796875
"[(3, 2), (4, 2), (4, 3), (5, 3), (5, 4), (6, 4), (6, 5), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9)]",12,5.078125,90.234375
"[(6, 0), (5, 0), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6)]",8,5.078125,83.59375
"[(2, 5), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9)]",6,5.859375,75.0
"[(9, 9), (8, 9), (8, 8), (7, 8), (7, 7), (6, 7), (6, 6), (5, 6), (5, 5), (4, 5), (3, 5), (2, 5)]",12,1.5625,90.234375
"[(5, 0), (4, 0), (4, 1), (3, 1), (3, 2), (3, 3)]",6,8.203125,75.0
"[(6, 8), (7, 8), (7, 7), (8, 7), (9, 7)]",5,7.421875,66.796875
"[(7, 9), (6, 9), (6, 8), (5, 8)]",4,14.84375,50.0
"[(2, 3), (1, 3), (1, 4), (0, 4), (0, 5), (0, 6), (0, 7)]",7,5.859375,80.078125
"[(4, 6), (5, 6), (5, 7), (6, 7)]",4,12.5,50.0
